name;description;imageUrl;pricePerSquareMeter;thicknesses;finishes;category;isActive
Melamina Roble Hamilton;Diseño de madera natural con textura sincronizada.;;45.50;16, 19;Poro Sincro, Mate;Melaminas;true
Fenix NTM Negro Ingo;Superficie ultramate, antihuellas y reparable térmicamente.;;180.75;10, 19, 21;Supermate, Seda;Fenix;true
MDF Crudo Hidrófugo;Tablero de fibras de densidad media resistente a la humedad.;;22.30;10, 16, 19, 30;Lijado;Crudos;true
Rechapado Nogal Americano;Chapa de madera natural sobre base de tablero.;;95.00;19;Poro Abierto, Satinado;Rechapados;true
Melamina Blanco Seda;Acabado liso y sedoso de alta durabilidad.;;35.90;16, 19, 21;Seda, Mate;Melaminas;true
Fenix NTM Blanco Kos;El blanco más puro con tecnología antihuellas.;;195.50;10, 19;Supermate;Fenix;true
Aglomerado Crudo;Tablero estándar de partículas para uso general.;;20.50;10, 16, 19, 30;Bruto;Crudos;false
Rechapado Roble Rústico;Chapa de madera con nudos y vetas marcadas.;;88.20;19, 30;Cepillado, Natural;Rechapados;true
Melamina Gris Antracita;Color sólido y moderno con acabado mate.;;42.80;16, 19;Mate, Texturizado;Melaminas;true
Melamina Lino Cancún;Diseño textil que aporta calidez y textura.;;51.00;19;Textil;Melaminas;true
Fenix NTM Grigio Londra;Tonalidad gris media, elegante y versátil.;;185.00;10, 19, 21;Seda;Fenix;true
MDF Crudo Ignífugo;Tablero de fibras con tratamiento resistente al fuego.;;35.75;16, 19;Lijado;Crudos;true
Rechapado Fresno Olivo;Chapa con veta similar al olivo, muy decorativa.;;110.40;19;Satinado;Rechapados;false
Melamina Mármol Calacatta;Imitación de mármol de alta definición y realismo.;;65.30;19, 21;Alto Brillo, Pulido;Melaminas;true
Fenix NTA Acero Hamilton;Efecto metálico con las propiedades de Fenix.;;250.00;10;Metalizado;Fenix;true
Contrachapado de Abedul;Tablero multicapa de alta resistencia y cantos vistos.;;75.90;16, 19, 21;Natural;Crudos;true
